"Reversed left context";"Reversed center";"Left context";"Center";"Punct";"Right context";"Title";"Author";"Birthday";"Header";"Created";"Sphere";"Type";"Topic";"Publication";"Publ_year";"Medium";"Ambiguity";"Sentences";"Words";"Audience_age";"Audience_level";"Audience_size";"Full context";"Example source"
" амод зи ясьтасипыв и ьтязв отч";"хыннешиламу";"что взять и выписаться из дома ";"умалишенных";". ";"";"Виктор Пелевин. Чапаев и пустота (1996)";"Виктор Пелевин";"1962";"Чапаев и пустота";"1996";"художественная";"роман";"";"Виктор Пелевин. Собрание сочинений в 3-х томах. Т. 1";"2001";"книга";"омонимия снята автоматически";"8706";"91006";"н-возраст";"н-уровень";"большая";"Вы, наверно, любите метафоры -- так вот, это то же самое, что взять и выписаться из дома умалишенных. ";"52997:5615:16"
" амод зи итйыв -- арофатем ястенатсо итямап";"хыннешиламу";"памяти останется метафора -- выйти из дома ";"умалишенных";" ";"на свободу. ";"Виктор Пелевин. Чапаев и пустота (1996)";"Виктор Пелевин";"1962";"Чапаев и пустота";"1996";"художественная";"роман";"";"Виктор Пелевин. Собрание сочинений в 3-х томах. Т. 1";"2001";"книга";"омонимия снята автоматически";"8706";"91006";"н-возраст";"н-уровень";"большая";"Пусть в вашей памяти останется метафора -- выйти из дома умалишенных на свободу. ";"52997:5625:9"
" онвя но лыБ";"мыннешиламу";"Был он явно ";"умалишенным";", ";"не только мерзавцем и вором («эпизоотия";"Д. С. Лихачев. Воспоминания (1995)";"Д. С. Лихачев";"1906";"Воспоминания";"1995";"публицистика | нехудожественная";"мемуары";"искусство и культура";"Лихачев Д. С. Воспоминания";"1995";"книга";"омонимия снята автоматически";"7969";"112554";"н-возраст";"н-уровень";"большая";"Был он явно умалишенным, не только мерзавцем и вором («эпизоотия» ему нужна была, чтобы получать лишнюю муку на коров, якобы больных). ";"36090:2599:3"
" и нажротак окьлот хиндо илгиртс кат";"хыннешиламу";"так стригли одних только каторжан и ";"умалишенных";": ";"затылок и виски оголены, зато на";"Евгений Лукин. Там, за Ахероном (1995)";"Евгений Лукин";"1950";"Там, за Ахероном";"1995";"художественная";"повесть";"";"";"";"книга";"омонимия снята автоматически";"2051";"15310";"н-возраст";"н-уровень";"большая";"Молодой человек был мордаст, глазенки имел наглые и нетрезвые, что же до прически, то раньше так стригли одних только каторжан и умалишенных: затылок и виски оголены, зато на макушке стоит дыбом некое мочало. ";"23287:545:21"
" ялд моД";"хыннешиламу";"Дом для ";"умалишенных";". ";"";"Ирина Муравьева. Филемон и Бавкида (1995)";"Ирина Муравьева";"1952";"Филемон и Бавкида";"1995";"художественная";"повесть";"";"Ирина Муравьева. Филемон и Бавкида";"2000";"книга";"омонимия снята автоматически";"1023";"7994";"н-возраст";"н-уровень";"большая";"Дом для умалишенных. ";"53666:364:2"
" ялд емод в иовс инд аличнок";"хыннешиламу";"кончила дни свои в доме для ";"умалишенных";". ";"";"Михаил Шишкин. Всех ожидает одна ночь (1993-2003)";"Михаил Шишкин";"1961";"Всех ожидает одна ночь";"1993-2003";"художественная";"роман";"";"Михаил Шишкин. Всех ожидает одна ночь";"1987";"книга";"омонимия снята автоматически";"6279";"76225";"н-возраст";"н-уровень";"большая";"К тому же он сам рассказывал мне, что мать его кончила дни свои в доме для умалишенных. ";"24141:5232:16"
" инет тядорб хакремус хывортумалреп В";"хыннешиламу";"В перламутровых сумерках бродят тени ";"умалишенных";" ";"читателей. ";"В. Ахрамович. Эдгар По — продолжение тайны // «Наука и религия», 1992";"В. Ахрамович";"";"Эдгар По — продолжение тайны";"1992";"публицистика";"эссе";"искусство и культура";"«Наука и религия»";"1992";"журнал";"омонимия снята автоматически";"119";"1087";"н-возраст";"н-уровень";"большая";"В перламутровых сумерках бродят тени умалишенных читателей. ";"45802:26:5"
" еыньлатсО »!тупак венжерБ« :лачирказ ,сан ведиву";"еыннешиламу";"увидев нас, закричал: «Брежнев капут!» Остальные ";"умалишенные";" ";"играли в карты и производили впечатление";"Лион Измайлов, Валерий Чудодеев. Чокнутый // «Огонек». № 4, 1991";"Лион Измайлов, Валерий Чудодеев";"";"Чокнутый";"1991";"художественная";"рассказ";"";"«Огонек». № 4";"1991";"журнал";"омонимия снята автоматически";"297";"2644";"н-возраст";"н-уровень";"очень большая";"Другой читал брошюру «О материализме и эмпириокритицизме», время от времени вскрикивая: «Во где дурдом-то!» Третий, увидев нас, закричал: «Брежнев капут!» Остальные умалишенные играли в карты и производили впечатление вполне нормальных людей. ";"47487:119:22"
" ан как иледялг ет а ,унатсв";"огоннешиламу";"встану, а те глядели как на ";"умалишенного";": ";"сказано же, им не докладывают, наряд";"Евгений Шкловский. Страшный суд (1990-1996)";"Евгений Шкловский";"1954";"Страшный суд";"1990-1996";"художественная";"рассказ";"";"Е. Шкловский. Заложники";"1996";"книга";"омонимия снята автоматически";"329";"4504";"н-возраст";"н-уровень";"большая";"Он пытался выяснить у водителя бульдозера -- хоть что-нибудь, и у ребят в гимнастерках, стройбатовцев, умолял, хотите, говорил, на колени перед вами встану, а те глядели как на умалишенного: сказано же, им не докладывают, наряд выписали, а их дело лопата... ";"24148:162:27"
" алыб анО";"яаннешиламу";"Она была ";"умалишенная";", ";"а может, рехнулась от боли. ";"Марина Палей. Кабирия с Обводного канала (1990)";"Марина Палей";"1955";"Кабирия с Обводного канала";"1990";"художественная";"повесть";"";"Палей М. Long Distance, или Славянский акцент";"2000";"книга";"омонимия снята автоматически";"1537";"19151";"н-возраст";"н-уровень";"большая";"Она была умалишенная, а может, рехнулась от боли. ";"53674:855:2"
" как анО";"яаннешиламу";"Она как ";"умалишенная";" ";"сразу бросилась на кухню к холодильнику. ";"Наталия Медведева. Любовь с алкоголем (1988-1993)";"Наталия Медведева";"1958";"Любовь с алкоголем";"1988-1993";"художественная";"рассказ";"";"Медведева Н. Любовь с алкоголем";"2001";"книга";"омонимия снята автоматически";"5616";"53664";"н-возраст";"н-уровень";"большая";"Она как умалишенная сразу бросилась на кухню к холодильнику. ";"53645:3656:2"
" как ,имагон ьтащарв ьшеаничан отч умотоП";"йыннешиламу";"Потому что начинаешь вращать ногами, как ";"умалишенный";"... ";"";"Наталия Медведева. Любовь с алкоголем (1988-1993)";"Наталия Медведева";"1958";"Любовь с алкоголем";"1988-1993";"художественная";"рассказ";"";"Медведева Н. Любовь с алкоголем";"2001";"книга";"омонимия снята автоматически";"5616";"53664";"н-возраст";"н-уровень";"большая";"Потому что начинаешь вращать ногами, как умалишенный... ";"53645:5069:6"
" как отэ алилапыв ано -- !тен огокин";"яаннешиламу";"никого нет! -- она выпалила это как ";"умалишенная";", ";"бессознательно совершенно, но абсолютно четко представляя";"Наталия Медведева. Любовь с алкоголем (1988-1993)";"Наталия Медведева";"1958";"Любовь с алкоголем";"1988-1993";"художественная";"рассказ";"";"Медведева Н. Любовь с алкоголем";"2001";"книга";"омонимия снята автоматически";"5616";"53664";"н-возраст";"н-уровень";"большая";"У меня же никого нет! -- она выпалила это как умалишенная, бессознательно совершенно, но абсолютно четко представляя, что у нее осталась только Раечка, эта глупенькая Раиса, думающая вслух, Речел, над которой она смеется и которая ей нужна. ";"53645:5586:9"
" емод в но еж личноК";"хыннешиламу";"Кончил же он в доме ";"умалишенных";", ";"до водворения туда исчез надолго так";"Михаил Веллер. Карьера в Никуда (1988)";"Михаил Веллер";"1948";"Карьера в Никуда";"1988";"художественная";"рассказ";"";"Михаил Веллер. А вот те шиш!";"1997";"книга";"омонимия снята автоматически";"1252";"12695";"взрослый";"н-уровень";"большая";"Кончил же он в доме умалишенных, до водворения туда исчез надолго так, что еле нашли: слухи о загадочном исчезновении поползли средь людей, не обошлось, разумеется, без суеверия и выдумок глупейших, хотя и небезынтересных самих по себе: некий сочинитель даже повестушку про то намарал, -- забыл названного Валком автора, забыл название, издательство, -- где искать концы, как? да и стоит ли... ";"53372:18:5"
" яслазак ен месвос нижыЛ и ,йелатед";"мыннешиламу";"деталей, и Лыжин совсем не казался ";"умалишенным";" -- ";"он просто жил сейчас и действовал";"Аркадий Вайнер, Георгий Вайнер. Лекарство против страха (1987)";"Аркадий Вайнер, Георгий Вайнер";"1931|1938";"Лекарство против страха";"1987";"художественная";"роман";"";"Братья Вайнеры. Лекарство против страха";"1986";"книга";"омонимия снята автоматически";"8340";"100981";"н-возраст";"н-уровень";"очень большая";"Его бред был связным, вполне сюжетным, насыщенным точным знанием каких-то неизвестных мне людей и деталей, и Лыжин совсем не казался умалишенным -- он просто жил сейчас и действовал в другом времени, словно удалось ему одному узнать секрет управления машиной времени, приручить вожделенную мечту физиков, и в ту страшную ночь, когда мы расстались, прошел он пространственно-временной континуум, и разделены мы сейчас с ним не болезнью, а громадными пластами многих веков. ";"24548:5105:20"
" ирасоК -- угул оп ,угул оп тядох";"еыннешиламу";"ходят по лугу, по лугу -- Косари ";"умалишенные";"... ";"";"Эмма Герштейн. Мандельштам в Воронеже (по письмам С. Б. Рудакова) (1985-2002)";"Эмма Герштейн";"1903";"Мандельштам в Воронеже (по письмам С. Б. Рудакова)";"1985-2002";"публицистика | нехудожественная";"мемуары";"";"Эмма Герштейн. Мемуары";"2002";"книга";"омонимия снята автоматически";"4513";"47922";"н-возраст";"н-уровень";"большая";"Ах, я видеть не могу, не могу -- Берега серо-зеленые: Словно ходят по лугу, по лугу -- Косари умалишенные... ";"59941:1600:16"
" ялд амод уроткерид к йобьсорп йотэ";"хыннешиламу";"этой просьбой к директору дома для ";"умалишенных";": ";"уж он-то хорошо осведомлен на";"В. Демьянов. Дама-Дух и вечный двигатель // «Наука и религия», 1984";"В. Демьянов";"";"Дама-Дух и вечный двигатель";"1984";"публицистика";"статья";"астрология, парапсихология, эзотерика";"«Наука и религия»";"1984";"журнал";"омонимия снята автоматически";"209";"3019";"н-возраст";"н-уровень";"большая";"И предложил обратиться с этой просьбой к директору дома для умалишенных: уж он-то хорошо осведомлен на этот счет. ";"45688:60:10"
" аплот как ябес алев ,укызум )имыншотси";"хыннешиламу";"истошными) музыку, вела себя как толпа ";"умалишенных";" ";"и притом, по-видимому, получала от этого";"С. Т. Рихтер. Дневник (1983)";"С. Т. Рихтер";"1915";"Дневник";"1983";"бытовая | нехудожественная";"дневник, записные книжки";"искусство и культура | частная жизнь";"Монсенжон Б. Рихтер. Диалоги. Дневники. М.: Классика-ХХI, 2002.";"2002";"книга";"омонимия снята автоматически";"1457";"6118";"н-возраст";"н-уровень";"малая";"Она вопила, прикрывала своими криками (истошными) музыку, вела себя как толпа умалишенных и притом, по-видимому, получала от этого большое удовольствие. ";"21110:464:11"
" ялд емод в алрему ьтам еЕ";"хыннешиламу";"Ее мать умерла в доме для ";"умалишенных";" (";"когда бесследно исчез старший брат, мать";"Леонид Утесов. «Спасибо, сердце!» (1982)";"Леонид Утесов";"1895";"«Спасибо, сердце!»";"1982";"публицистика | нехудожественная";"мемуары";"";"Леонид Утёсов. Спасибо, сердце!";"1999";"книга";"омонимия снята автоматически";"8866";"100368";"н-возраст";"н-уровень";"большая";"Ее мать умерла в доме для умалишенных (когда бесследно исчез старший брат, мать сошла с ума). ";"53820:3000:6"
" артсном ясогешходазулоп ,огежюлкуен ,огоннемрофсеб оготэ ьтивяъбо";"мыннешиламу";"объявить этого бесформенного, неуклюжего, полузадохшегося монстра ";"умалишенным";", ";"некомпетентным в своих действиях и исключить";"Владимир Николаев. Закономерный парадокс // «Огонек», 1980";"Владимир Николаев";"";"Закономерный парадокс";"1980";"публицистика";"очерк";"политика и общественная жизнь";"«Огонек»";"1980";"журнал";"омонимия снята автоматически";"304";"4424";"н-возраст";"н-уровень";"очень большая";"Недаром публицист Курт Джентри предложил «объявить этого бесформенного, неуклюжего, полузадохшегося монстра умалишенным, некомпетентным в своих действиях и исключить из семьи городов Америки». ";"47325:96:11"
" дерб -- яныдрог яаньланоицаН";"огоннешиламу";"Национальная гордыня -- бред ";"умалишенного";". ";"";"Константин Серафимов. Экспедиция во мрак (1978-1996)";"Константин Серафимов";"1953";"Экспедиция во мрак";"1978-1996";"публицистика | нехудожественная";"монография";"спорт";"";"1994";"книга";"омонимия снята автоматически";"16370";"167474";"н-возраст";"н-уровень";"средняя";"Национальная гордыня -- бред умалишенного. ";"35977:2653:3"
" онвад ежу йовомоД ,тежоМ";"йыннешиламу";"Может, Домовой уже давно ";"умалишенный";"? ";"";"Анатолий Безуглов. Страх (1977)";"Анатолий Безуглов";"1928";"Страх";"1977";"художественная";"повесть";"";"Приключения 1977. Повести. Рассказы. Очерки";"1977";"книга";"омонимия снята автоматически";"3122";"20331";"н-возраст";"н-уровень";"очень большая";"Может, Домовой уже давно умалишенный? ";"23684:1480:4"
" тотэ адгок ,ьсюусеретни ьнечо мовтсечеволеч месв";"йыннешиламу";"всем человечеством очень интересуюсь, когда этот ";"умалишенный";" ";"еврейский гений начнет играть в шахматы. ";"Ю. Л. Нельская-Сидур. Дневники 1968-1973 (1972)";"Ю. Л. Нельская-Сидур";"1940";"Дневники 1968-1973";"1972";"бытовая | нехудожественная";"дневник, записные книжки";"частная жизнь | искусство и культура | политика и общественная жизнь";"«Время, когда не пишут дневников и писем...» Хроника одного подвала. Дневники 1968–1973 / Составление, подготовка текста, вступительная статья и комментарии Владимира Воловникова. М.: АИРО-XXI, СПб.: Алетейя, 2015.";"2015";"книга";"омонимия снята автоматически";"6186";"60309";"н-возраст";"н-уровень";"личная";"Я вместе со всем человечеством очень интересуюсь, когда этот умалишенный еврейский гений начнет играть в шахматы. ";"20950:2669:9"
" емод о авомерфЕ ырЮ огоню амэоП";"хыннешиламу";"Поэма юного Юры Ефремова о доме ";"умалишенных";". ";"";"Давид Самойлов. Памятные записки (1971-1990)";"Давид Самойлов";"1920";"Памятные записки";"1971-1990";"публицистика | нехудожественная";"мемуары";"";"Давид Самойлов. «Перебирая наши даты...»";"2001";"книга";"омонимия снята автоматически";"3452";"19594";"н-возраст";"н-уровень";"большая";"Поэма юного Юры Ефремова о доме умалишенных. ";"53921:199:6"
" ялд снаш отэ -- итявед атсонявед виторп";"хыннешиламу";"против девяноста девяти -- это шанс для ";"умалишенных";". ";"";"Александр Вампилов. Прошлым летом в Чулимске (1971)";"Александр Вампилов";"1937";"Прошлым летом в Чулимске";"1971";"художественная";"пьеса";"";"";"";"книга";"омонимия снята автоматически";"3866";"11041";"н-возраст";"н-уровень";"большая";"Один против девяноста девяти -- это шанс для умалишенных. ";"21694:1151:7"
" с ьсалатсо анвеалокиН аниН удог 1491";"йоннешиламу";"1941 году Нина Николаевна осталась с ";"умалишенной";" ";"матерью в Ст. ";"Марк Поповский. Семидесятые. Записки максималиста (1971) // «Новый Журнал», 2002";"Марк Поповский";"1922";"Семидесятые. Записки максималиста";"1971";"публицистика | нехудожественная";"мемуары";"";"«Новый Журнал»";"2002";"журнал";"омонимия снята автоматически";"1538";"17247";"н-возраст";"н-уровень";"большая";"Друг жены Грина, Нины Николаевны, Юлия Александровна Первова, биолог из Киева, рассказывала: в 1941 году Нина Николаевна осталась с умалишенной матерью в Ст. ";"23656:1269:19"
" хамод в ино ил ьсилидохан он";"хыннешиламу";"но находились ли они в домах ";"умалишенных";" -- ";"сказать не могу... ";"В. И. Сандлер. Вокруг Александра Грина. Жизнь Грина в письмах и документах (1971)";"В. И. Сандлер";"1933-1936";"Вокруг Александра Грина. Жизнь Грина в письмах и документах";"1971";"публицистика | нехудожественная";"статья";"искусство и культура | политика и общественная жизнь | история | частная жизнь";"«Автобиографическая Повесть. Воспоминания. Вокруг Александра Грина», Лениздат, 1971г.";"1971";"книга";"омонимия снята автоматически";"3426";"44308";"н-возраст";"н-уровень";"большая";"Такая ненормальность умственных способно-стей у Александра, по моему мнению, явилась наследственною; отец мой был ипохондрик, два брата отца, мне дяди, были умственно помешаны, но находились ли они в домах умалишенных -- сказать не могу... ";"23509:240:29"
" еморК";"хыннешиламу";"Кроме ";"умалишенных";" ";"и преступников лишены были избирательного права";"В. В. Шульгин. Последний очевидец (1971)";"В. В. Шульгин";"1878";"Последний очевидец";"1971";"публицистика | нехудожественная";"мемуары";"";"В. В. Шульгин «Последний очевидец. Мемуары. Очерки. Сны";"2002";"книга";"омонимия снята автоматически";"11351";"126255";"н-возраст";"н-уровень";"средняя";"Кроме умалишенных и преступников лишены были избирательного права женщины. ";"128096:176:1"
" емод в тидис и ясьтазераз летох";"хыннешиламу";"хотел зарезаться и сидит в доме ";"умалишенных";". ";"";"В. В. Бибихин. Из записей на тему самопознания. Отдельные записи и отрывки из дневников (нач. 70-х—нач. 90-х гг.) (1970-1992)";"В. В. Бибихин";"1938";"Из записей на тему самопознания. Отдельные записи и отрывки из дневников (нач. 70-х—нач. 90-х гг.)";"1970-1992";"учебно-научная | нехудожественная";"дневник, записные книжки";"наука и технологии | философия";"Бибихин В. В. Узнай себя";"1998";"книга";"омонимия снята автоматически";"6518";"86759";"н-возраст";"высокий";"большая";"Весь длинный фильм как бы от Сальери, который уже хотел зарезаться и сидит в доме умалишенных. ";"42294:5662:15"
" --";"йыннешиламУ";"-- ";"Умалишенный";"! ";"ты ведь сам знаешь, почему! сам";"Венедикт Ерофеев. Москва-Петушки (1970)";"Венедикт Ерофеев";"1938";"Москва-Петушки";"1970";"художественная";"поэма";"";"Венедикт Ерофеев. Собрание сочинений в 2-х томах. Том 1";"2001";"книга";"омонимия снята автоматически";"3446";"34054";"н-возраст";"н-уровень";"большая";"Умалишенный! ты ведь сам знаешь, почему! сам -- знаешь, почему, угорелый! ";"52975:1031:0"
" ялд емод в илитюирп агоГ наВ";"хыннешиламу";"Ван Гога приютили в доме для ";"умалишенных";". ";"";"Север Гансовский. Винсент Ван Гог // «Химия и жизнь», 1970";"Север Гансовский";"1918";"Винсент Ван Гог";"1970";"художественная";"повесть";"";"«Химия и жизнь»";"1970";"журнал";"омонимия снята автоматически";"1374";"17774";"н-возраст";"н-уровень";"большая";"Опуская подробности, скажу, что через двадцать суток я опять был в прошлом веке, точнее в мае 1890 года, на окраине маленького городка Сен-Реми, где Ван Гога приютили в доме для умалишенных. ";"35478:1020:30"
" ялд тюирп отч ,»мамьсиП« оп линмопсв";"хыннешиламу";"вспомнил по «Письмам», что приют для ";"умалишенных";" ";"именно в Сен-Реми был избран потому";"Север Гансовский. Винсент Ван Гог // «Химия и жизнь», 1970";"Север Гансовский";"1918";"Винсент Ван Гог";"1970";"художественная";"повесть";"";"«Химия и жизнь»";"1970";"журнал";"омонимия снята автоматически";"1374";"17774";"н-возраст";"н-уровень";"большая";"На нем был казенный халат, и я вспомнил по «Письмам», что приют для умалишенных именно в Сен-Реми был избран потому, что плата за содержание составляет здесь всего один франк в день. ";"35478:1053:13"
" с или мынтовиж с автсдохс йе";"йоннёшиламу";"ей сходства с животным или с ";"умалишённой";". ";"";"Михаил Соковнин. Обход Профессора (1969-1973) // «Ковчег», 1978";"Михаил Соковнин";"1938";"Обход Профессора";"1969-1973";"художественная";"рассказ";"";"«Ковчег»";"1978";"журнал";"омонимия снята автоматически";"347";"4734";"н-возраст";"н-уровень";"большая";"Её можно было бы назвать очень красивой, если бы крайне напряженный взгляд, раздувающиеся ноздри и спутанные иссиня-чёрные волосы не придавали ей сходства с животным или с умалишённой. ";"44772:275:27"
" ытнедутс ,икичтузал иьжарв тятох оге ьтибугаЗ";"еыннешиламу";"Загубить его хотят вражьи лазутчики, студенты ";"умалишенные";" ";"и часть обманутого фабричного люда. ";"Василий Аксенов. Любовь к электричеству (1969)";"Василий Аксенов";"1932";"Любовь к электричеству";"1969";"художественная";"повесть";"";"Аксенов В. П. Любовь к электричеству";"1971";"книга";"омонимия снята автоматически";"7217";"74901";"н-возраст";"н-уровень";"большая";"Загубить его хотят вражьи лазутчики, студенты умалишенные и часть обманутого фабричного люда. ";"21799:3347:6"
" ялд атюирп мочарв мынвалг латс ьлениП";"хыннешиламу";"Пинель стал главным врачом приюта для ";"умалишенных";" ";"Бисетра в годы Великой французской революции. ";"И. Губерман. Борьба с безумием // «Химия и жизнь», 1968";"И. Губерман";"";"Борьба с безумием";"1968";"учебно-научная | нехудожественная";"статья";"здоровье и медицина";"«Химия и жизнь»";"1968";"журнал";"омонимия снята автоматически";"171";"2471";"н-возраст";"н-уровень";"большая";"Пинель стал главным врачом приюта для умалишенных Бисетра в годы Великой французской революции. ";"34897:12:6"
" амод есв еинедюлбан доп лязв я";"хыннешиламу";"я взял под наблюдение все дома ";"умалишенных";"… ";"";"Аркадий Стругацкий, Борис Стругацкий. Обитаемый остров (1967-1969)";"Аркадий Стругацкий | Борис Стругацкий";"1925|1933";"Обитаемый остров";"1967-1969";"художественная";"роман";"";"";"2004";"книга";"омонимия снята автоматически";"9030";"92714";"н-возраст";"н-уровень";"очень большая";"Далее, я взял под наблюдение все дома умалишенных… ";"24386:1082:7"
" отч ,ьтсечу илсе оннебосо ,еокьнелам еивтсьловоду";"еыннешиламу";"удовольствие маленькое, особенно если учесть, что ";"умалишенные";" ";"излучению не поддаются… ";"Аркадий Стругацкий, Борис Стругацкий. Обитаемый остров (1967-1969)";"Аркадий Стругацкий | Борис Стругацкий";"1925|1933";"Обитаемый остров";"1967-1969";"художественная";"роман";"";"";"2004";"книга";"омонимия снята автоматически";"9030";"92714";"н-возраст";"н-уровень";"очень большая";"Внушать голодному человек, что он сыт, долго нельзя, не выдерживает психика, а править сумасшедшим народом — удовольствие маленькое, особенно если учесть, что умалишенные излучению не поддаются… ";"24386:6977:21"
"";"яаннешиламУ";"";"Умалишенная";"!.. ";"";"А. М. Володин. Старшая сестра (1966)";"А. М. Володин";"1919";"Старшая сестра";"1966";"художественная";"пьеса";"";"«Советская драматургия» Ленинград: Лениздат, 1978";"1978";"книга";"омонимия снята автоматически";"1632";"8700";"н-возраст";"н-уровень";"большая";"Умалишенная!.. ";"21705:194:0"
" к и кызя огондор юиняотсос умонневтсешсамус";"умоннешиламу";"сумасшественному состоянию родного язык и к ";"умалишенному";" ";"его начертанiю. ";"В. В. Виноградов. Проблемы культуры речи и некоторые задачи русского языкознания // «Вопросы языкознания», 1964";"В. В. Виноградов";"1894";"Проблемы культуры речи и некоторые задачи русского языкознания";"1964";"учебно-научная | нехудожественная";"статья";"наука и технологии | филология | искусство и культура";"«Вопросы языкознания»";"1964";"журнал";"омонимия снята автоматически";"325";"6278";"н-возраст";"высокий";"большая";"благозвучныхъ словъ и словосочетаний..., послҍ -- благочестивыхъ именъ созидателей единственнаго по звучности языка Великой Россiи, любезнаго своей нҍжной и мощной гармонiей даже тҍмъ чужестранцамъ, которые, не зная его, но съ детства привыкши къ своему красивому и звучному языку, естественно воспрiимчивы к музыкальном благозвучiю языка чужого, — Французы, Испанцы, Итальянц инстинктивно благосклонны к Русскому языку и часто, вовсе его не понимая, плҍняются имъ, — жутко прикоснуться слухом и глазом к сумасшественному состоянию родного язык и к умалишенному его начертанiю. ";"42220:136:72"
" корос как ,латохох я йетсапорп хесв";"хыннешиламу";"всех пропастей я хохотал, как сорок ";"умалишенных";", ";"";"Венедикт Ерофеев. Благая весть (1962)";"Венедикт Ерофеев";"1938";"Благая весть";"1962";"художественная";"притча";"";"Венедикт Ерофеев. Собрание сочинений в 2-х томах. Том 2";"2001";"книга";"омонимия снята автоматически";"217";"2407";"н-возраст";"н-уровень";"большая";"И над зевами всех пропастей я хохотал, как сорок умалишенных, ";"52980:187:9"
"";"йыннешиламУ";"";"Умалишенный";" ";"стал мудрецом. ";"Григорий Козинцев. Наш современник Вильям Шекспир (1962)";"Григорий Козинцев";"1905";"Наш современник Вильям Шекспир";"1962";"учебно-научная | нехудожественная";"очерк | цикл";"искусство и культура";"Григорий Козинцев. Время трагедий";"2003";"книга";"омонимия снята автоматически";"2686";"34234";"н-возраст";"н-уровень";"большая";"Умалишенный стал мудрецом. ";"53958:623:0"
" ,йыннашемоп как латепелаз йынму ,рим ледиву";"йыннешиламу";"увидел мир, умный залепетал как помешанный, ";"умалишенный";" ";"оказался философом. ";"Григорий Козинцев. Наш современник Вильям Шекспир (1962)";"Григорий Козинцев";"1905";"Наш современник Вильям Шекспир";"1962";"учебно-научная | нехудожественная";"очерк | цикл";"искусство и культура";"Григорий Козинцев. Время трагедий";"2003";"книга";"омонимия снята автоматически";"2686";"34234";"н-возраст";"н-уровень";"большая";"Король стал нищим, шут -- мудрецом, слепой увидел мир, умный залепетал как помешанный, умалишенный оказался философом. ";"53958:685:12"
" тепел в итйереп онтемазен илгом ытелпук";"огоннешиламу";"куплеты могли незаметно перейти в лепет ";"умалишенного";". ";"";"Григорий Козинцев. Наш современник Вильям Шекспир (1962)";"Григорий Козинцев";"1905";"Наш современник Вильям Шекспир";"1962";"учебно-научная | нехудожественная";"очерк | цикл";"искусство и культура";"Григорий Козинцев. Время трагедий";"2003";"книга";"омонимия снята автоматически";"2686";"34234";"н-возраст";"н-уровень";"большая";"Шутовские куплеты могли незаметно перейти в лепет умалишенного. ";"53958:780:7"
" отк ,цердум йыннитси отк ,ьтсопулг теажарбози";"йыннешиламу";"изображает глупость, кто истинный мудрец, кто ";"умалишенный";". ";"";"Григорий Козинцев. Наш современник Вильям Шекспир (1962)";"Григорий Козинцев";"1905";"Наш современник Вильям Шекспир";"1962";"учебно-научная | нехудожественная";"очерк | цикл";"искусство и культура";"Григорий Козинцев. Время трагедий";"2003";"книга";"омонимия снята автоматически";"2686";"34234";"н-возраст";"н-уровень";"большая";"Безумец философствует с юродивым, в спор вступает дурак; уже трудно понять, кто действительно сумасшедший, кто изображает глупость, кто истинный мудрец, кто умалишенный. ";"53958:905:21"
" емод моксвокьрах в екрубаС йешан аН";"хыннешиламу";"На нашей Сабурке в харьковском доме ";"умалишенных";" ";"сидел Хлебников. ";"Б. А. Слуцкий. О других и о себе (1960-1977)";"Б. А. Слуцкий";"1919";"О других и о себе";"1960-1977";"публицистика | нехудожественная";"мемуары";"";"Б. Слуцкий. О других и о себе";"2005";"книга";"омонимия снята автоматически";"1372";"14935";"н-возраст";"н-уровень";"большая";"На нашей Сабурке в харьковском доме умалишенных сидел Хлебников. ";"24257:16:6"
" ялд екинилк в ледис йыроток ,мотнаргимэ";"хыннешиламу";"эмигрантом, который сидел в клинике для ";"умалишенных";" ";"и пожелал привлечь внимание мира к";"Н. Н. Берберова. Курсив мой (1960-1966)";"Н. Н. Берберова";"1901";"Курсив мой";"1960-1966";"художественная";"роман";"искусство и культура";"Н. Берберова. Курсив мой. Автобиография";"1996";"книга";"омонимия снята автоматически";"12651";"190535";"н-возраст";"н-уровень";"большая";"Да русским, русским же, конечно, эмигрантом, который сидел в клинике для умалишенных и пожелал привлечь внимание мира к своему бедственному положению (еще нам говорят, что он писал стихи). ";"22243:7702:11"
" огондо огоксечеволеч агалб ялд ьтибУ";"огоннешиламу";"Убить для блага человеческого одного ";"умалишенного";" ";"или десять миллионов -- различие арифметическое. ";"И. Г. Эренбург. Люди, годы, жизнь. Книга 2 (1960-1965)";"И. Г. Эренбург";"1891";"Люди, годы, жизнь. Книга 2";"1960-1965";"публицистика | нехудожественная";"мемуары";"искусство и культура";"Эренбург Илья. Люди, годы, жизнь";"1990";"книга";"омонимия снята автоматически";"3985";"54207";"н-возраст";"н-уровень";"большая";"Убить для блага человеческого одного умалишенного или десять миллионов -- различие арифметическое. ";"22683:3903:5"
